Ameex — Tarifs & disponibilité de livraison (Hub de ramassage : Meknes Hub Principal),,,,,,,,,
"Source : customer.ameex.ma/delivery/cities, extrait le 23/09/2026. ✓ = livraison ce jour, ✗ = pas de livraison.",,,,,,,,,
,,,,,,,,,
Ville,STD (<5 kg),Lun,Mar,Mer,Jeu,Ven,Sam,Dim,Jours / sem.
Ouaouizeght,45.00,✗,✗,✗,✗,✗,✓,✗,1
Adouz,45.00,✓,✓,✓,✓,✓,✓,✗,6
Foum El Anceur,45.00,✓,✓,✓,✓,✓,✓,✗,6
FERYATA,45.00,✓,✓,✓,✓,✓,✓,✗,6
Foum Zaouia,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tanougha-Beni Mellal,45.00,✗,✗,✗,✗,✗,✗,✗,0
Al kamoun-ksba tadla,45.00,✗,✗,✗,✗,✗,✗,✗,0
Jerf El Melha,45.00,✗,✗,✓,✗,✗,✓,✗,2
Zemamra,45.00,✗,✓,✓,✓,✗,✓,✗,4
Sidi Smail,45.00,✗,✗,✗,✗,✗,✗,✗,0
Azemmour,45.00,✓,✓,✓,✓,✓,✓,✗,6
Bir Jdid,45.00,✓,✗,✗,✗,✗,✗,✗,1
El Jorf Lasfar,45.00,✗,✓,✗,✓,✗,✓,✗,3
Moulay Abdallah Amghar,45.00,✗,✗,✗,✗,✗,✗,✗,0
El Aouamra,45.00,✗,✗,✗,✗,✗,✗,✗,0
Laarache,40.00,✗,✗,✗,✗,✗,✗,✗,0
Oulad Bourahma,40.00,✗,✗,✗,✗,✗,✗,✗,0
Zone Franche (kenitra),40.00,✗,✗,✗,✗,✗,✗,✗,0
Ghafsai,45.00,✗,✓,✗,✗,✓,✗,✓,3
sidi aadi,45.00,✗,✗,✗,✗,✗,✗,✗,0
Mejjat-chichaoua,45.00,✗,✓,✗,✓,✗,✓,✗,3
Ain Tekki,45.00,✓,✓,✓,✓,✓,✓,✓,7
OULAD ABBOU-settat,45.00,✓,✓,✓,✓,✓,✓,✗,6
AIN LEUH,40.00,✗,✗,✓,✗,✗,✓,✗,2
Souihla,45.00,✓,✗,✓,✗,✓,✗,✗,3
El Haj Kaddour,45.00,✗,✗,✗,✗,✗,✗,✗,0
Boulemane,45.00,✗,✗,✗,✗,✗,✗,✗,0
Tin Mansour,45.00,✗,✗,✗,✗,✗,✗,✗,0
Arba Aounate,45.00,✗,✗,✗,✗,✗,✗,✗,0
AIN BNI MATHAR,45.00,✗,✗,✗,✗,✗,✗,✗,0
Tikiouine,40.00,✓,✓,✓,✓,✓,✓,✓,7
Chellalat Mohammedia,45.00,✓,✓,✓,✓,✓,✓,✓,7
Zouada,45.00,✗,✗,✗,✗,✗,✗,✗,0
Arbaoua,45.00,✗,✗,✗,✗,✗,✗,✗,0
Sidi el Aidi,45.00,✗,✗,✗,✗,✗,✗,✗,0
DAR GUEDDARI,45.00,✓,✗,✓,✗,✓,✗,✗,3
Tagadirt-Agadir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tadouaret-Agadir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Leqliaa - Taddart,45.00,✓,✓,✓,✓,✓,✓,✗,6
ain mediouna - taounate,45.00,✗,✓,✗,✓,✗,✓,✗,3
ain aicha - taounate,45.00,✗,✓,✗,✓,✗,✓,✗,3
zrizer - taounate,45.00,✓,✓,✗,✗,✓,✗,✗,3
Ain Sbit,45.00,✓,✗,✗,✓,✗,✗,✗,2
MERCHOUCH,45.00,✓,✗,✗,✓,✗,✗,✗,2
TANANTE-AZILAL,45.00,✗,✗,✓,✗,✗,✓,✗,2
Birkouate,45.00,✓,✓,✓,✓,✓,✓,✗,6
Moulay Yaâcoub,45.00,✗,✗,✓,✗,✗,✓,✗,2
sidi boujida,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad Tayeb,45.00,✓,✓,✓,✗,✗,✓,✗,4
Ain Chkef,45.00,✓,✓,✓,✓,✓,✗,✗,5
Ouled Khlifa,45.00,✓,✓,✓,✓,✓,✓,✗,6
LOUDAYA,45.00,✓,✗,✓,✗,✓,✗,✗,3
Tassoultante,45.00,✗,✓,✗,✓,✗,✓,✗,3
Tameslouht,45.00,✗,✓,✗,✓,✗,✓,✗,3
Sidi Moussa-OURIKA,45.00,✓,✓,✓,✓,✓,✓,✓,7
Gueznaia - Tanger,40.00,✓,✓,✓,✓,✓,✓,✗,6
TANGER-bougdour,40.00,✓,✓,✓,✓,✓,✓,✗,6
AIN DALIA-tanger,40.00,✓,✓,✓,✓,✓,✓,✗,6
Chraka - Tanger,40.00,✓,✓,✓,✓,✓,✓,✗,6
TANGER-chaouia,40.00,✓,✓,✓,✓,✓,✓,✗,6
tamchat,45.00,✗,✓,✗,✓,✗,✓,✗,3
TAGANTE,45.00,✗,✗,✓,✗,✓,✗,✗,2
Moulay Idriss Zerhoun,35.00,✗,✗,✓,✗,✗,✓,✗,2
BOUYAFAR,45.00,✗,✗,✗,✗,✗,✓,✗,1
Sidi Bousberr,45.00,✗,✓,✗,✓,✗,✓,✗,3
LAMJAARA-ouazzane,45.00,✗,✓,✗,✓,✗,✗,✗,2
BRIKCHA-ouazzane,45.00,✗,✗,✓,✗,✗,✓,✗,2
Beni Quolla-ouazzane,45.00,✗,✓,✗,✓,✗,✓,✗,3
Mzefroune-ouazzane,45.00,✓,✗,✓,✗,✓,✗,✗,3
Sidi Elmoukhtar - Chichaoua,45.00,✓,✗,✓,✗,✓,✗,✗,3
Ouled El Ghadbane,45.00,✓,✓,✓,✓,✓,✓,✗,6
Had kourt,45.00,✓,✗,✓,✗,✓,✗,✗,3
Madagh-berkan,45.00,✓,✓,✓,✓,✓,✓,✗,6
Laatamna,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sebt ben sassi,45.00,✓,✓,✓,✓,✓,✓,✗,6
AIT BAHA,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ribate El Kheir-sefrou,45.00,✓,✓,✓,✓,✓,✓,✗,6
El Menzale-sefrou,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tizi Ouasli,45.00,✓,✓,✓,✓,✓,✓,✗,6
MSOUN taza,45.00,✓,✓,✓,✓,✓,✓,✗,6
Akhfennir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Gfifat-oulad teima,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad Dahou-HOUARA,45.00,✓,✓,✓,✓,✓,✓,✗,6
TIMAHDITE-AZROU,40.00,✗,✗,✗,✓,✗,✗,✗,1
AGOURAY,45.00,✓,✓,✓,✓,✓,✓,✗,6
SIDI AADI,45.00,✗,✗,✓,✗,✗,✓,✗,2
Lalla Takerkoust,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad yahya-Marrakech,45.00,✗,✓,✗,✓,✗,✓,✗,3
Chrifia-Marrakech,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi Abdellah Ghiat,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ait Ben Haddou,45.00,✓,✓,✓,✓,✓,✓,✗,6
TALSINNT,45.00,✓,✓,✓,✓,✓,✓,✗,6
Aouama-Tanger,40.00,✓,✓,✓,✓,✓,✓,✗,6
Ras El Ain Rehamena- Tamelelt,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tlauh - Tamelelt,45.00,✓,✓,✓,✓,✓,✓,✗,6
EL AIOUN SIDI MELLOUK,45.00,✓,✓,✓,✓,✓,✓,✗,6
Bir Tam Tam,45.00,✗,✗,✓,✗,✗,✓,✗,2
Ras Tabouda,45.00,✗,✗,✗,✗,✗,✗,✓,1
Zaouia Bougrine,45.00,✓,✓,✓,✓,✓,✓,✗,6
El houmer-taroudant,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad Terna,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouled Abbou-TAROUDANT,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad Aissa-TAROUDANT,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tazemmourt-taroudant,45.00,✓,✓,✓,✓,✓,✓,✗,6
tamaloukt-taroudant,45.00,✓,✓,✓,✓,✓,✓,✗,6
nouail-taroudant,45.00,✓,✓,✓,✓,✓,✓,✗,6
oulad mhela-taroudant,45.00,✓,✓,✓,✓,✓,✓,✗,6
El boura-taroudant,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad brahim-taroudant,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi moussa lhamri-TAROUDANT,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ahmar laglalcha-taroudant,45.00,✓,✓,✓,✓,✓,✓,✗,6
IGHREM-TATA,45.00,✓,✓,✓,✓,✓,✓,✗,6
ASJENN-ouazzane,45.00,✓,✓,✓,✓,✓,✓,✗,6
TAFOUGHALT,45.00,✓,✓,✓,✓,✓,✓,✗,6
AIN SFA-OUJDA,45.00,✓,✓,✓,✓,✓,✓,✗,6
Bouhouda-taounat,45.00,✓,✗,✓,✗,✗,✓,✗,3
Tahar Souk-taounat,45.00,✓,✓,✓,✓,✓,✓,✗,6
bouaadl-taounat,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouled azem-taounat,45.00,✓,✓,✓,✓,✓,✓,✗,6
Timezgana-taounat,45.00,✓,✗,✓,✗,✗,✓,✗,3
Imouzzer Marmoucha,45.00,✓,✗,✗,✓,✗,✗,✗,2
MEZRAOUA-taounat,45.00,✓,✗,✗,✓,✗,✗,✗,2
Ait Yaazem-meknes,35.00,✓,✓,✓,✓,✓,✓,✗,6
Ourtzagh-taounat,45.00,✓,✓,✓,✓,✓,✓,✗,6
Kasbat ayir-oualidia,45.00,✓,✓,✓,✓,✓,✓,✗,6
Amerzgane,45.00,✓,✓,✓,✓,✓,✓,✗,6
Imini-Ouarzazate,45.00,✓,✓,✓,✓,✓,✓,✗,6
LAMHIRIZ-dakhla,45.00,✓,✓,✓,✓,✓,✓,✗,6
AIN SMEN-FES,45.00,✓,✓,✓,✓,✓,✓,✓,7
Idouirane-Imintanuot,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tamait Izder-agadir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tinzouline-zagora,45.00,✗,✓,✗,✓,✗,✓,✗,3
BEN ZOLI,45.00,✗,✓,✗,✓,✗,✓,✗,3
Tagounite,45.00,✗,✗,✓,✗,✗,✗,✓,2
Ain el Mediour- taroudant,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouled Mssaad,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad Othmane,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad Yahya Lagraire,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tinnegza,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouled Moqaddem,45.00,✓,✓,✓,✓,✓,✓,✗,6
Aït Attab,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad Aissa- el jadida,45.00,✓,✓,✓,✓,✓,✓,✗,6
BRADIA,45.00,✓,✓,✓,✓,✓,✓,✗,6
Souk El Had Des Bradia,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouzoud,45.00,✓,✓,✓,✓,✓,✓,✗,6
HOUARA-Tanger,45.00,✓,✓,✓,✓,✓,✓,✗,6
MEHARZA-Tanger,45.00,✓,✓,✓,✓,✓,✓,✗,6
EL MNBAR-Tanger,45.00,✓,✓,✓,✓,✓,✓,✗,6
AIN BELLOUT-Tanger,45.00,✓,✓,✓,✓,✓,✓,✗,6
Agouim,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ighrem N Ougdal,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tarmigt,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ain jiri,40.00,✓,✗,✓,✗,✓,✗,✗,3
Tlata Loulad Fini,45.00,✗,✗,✓,✗,✗,✓,✗,2
Tnine Beni Meskine,45.00,✗,✓,✗,✓,✗,✗,✗,2
Aghbalou N serdan,45.00,✗,✗,✗,✓,✗,✗,✗,1
Itzer-zaida,45.00,✗,✗,✓,✗,✗,✓,✗,2
Zoualeth Dkhissa,35.00,✓,✓,✓,✓,✓,✓,✗,6
Ras El Ma Fes,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tassaout,45.00,✓,✓,✗,✗,✓,✓,✗,4
Oued Jdida,35.00,✗,✓,✗,✗,✗,✗,✗,1
Ouled Slim Khrarib,40.00,✗,✓,✗,✗,✗,✗,✗,1
Aghbala-beni mellal,45.00,✓,✗,✗,✓,✗,✓,✗,3
Tala Youssef-hociema,45.00,✓,✗,✓,✗,✓,✗,✗,3
Oulad Jerrar,45.00,✓,✓,✓,✓,✓,✓,✗,6
Taghjijt,45.00,✓,✗,✗,✓,✗,✓,✗,3
Toundoute,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouargui,45.00,✓,✓,✓,✓,✓,✓,✗,6
Bourouta,45.00,✓,✓,✓,✓,✓,✓,✗,6
